2588	8195	2.4420	0.0073
2157	8195	7.0000	0.0073
2055	8195	2.4150	0.0082
2056	8195	5.3470	0.0080
2321	8195	2.5800	0.0080
2061	8195	4.0470	0.0068
2179	8195	6.9900	0.0064
2069	8195	1.4700	0.0038
2507	8195	1.4200	0.0029
2545	8195	1.3340	0.0020
2076	8195	4.5970	0.0020
2080	8195	3.2200	0.0012
2083	8195	9.3300	0.0012
2085	8195	10.4530	0.0010
2088	8195	23.1230	0.0001
2543	8195	0.1323	-0.0008
2320	8195	3.3900	-0.0008
30488	8195	10.0850	-0.0008
2095	8195	2.8640	-0.0006
2098	8195	5.1180	-0.0006
2099	8195	1.9580	-0.0006
2228	8195	1.9650	-0.0010
2542	8195	0.0470	-0.0010
2105	8195	3.0270	0.0010
2544	8195	0.0732	0.0010
33084	8161	1.2820	0.0010
33084	8162	1.3490	0.0010
33084	8163	1.2170	0.0010
33084	8164	2.5647	0.0010
2109	8195	1.5280	0.0016
2110	8195	6.2800	0.0017
2541	8195	0.0410	0.0017
2111	8195	2.2320	0.0018
2130	8195	2.0130	0.0020
33221	8195	5.0000	0.0000
33222	8195	5.1400	0.0000
33223	8195	5.1400	0.0000
33224	8195	5.0100	0.0000
33225	8195	5.1400	0.0000
33226	8195	5.1400	0.0000
33227	8195	5.1400	0.0000
33228	8195	5.1400	0.0000
33229	8195	5.1400	0.0000
33230	8195	5.1400	0.0000
33231	8195	5.0200	0.0000
33232	8195	5.0000	0.0000
33233	8195	5.1400	0.0000
33234	8195	5.0000	0.0000
33235	8195	5.0100	0.0000
33236	8195	5.0200	0.0000
33237	8195	4.9800	0.0000
33238	8195	4.9900	0.0000
33239	8195	4.9900	0.0000
33240	8195	5.1400	0.0000
33241	8195	5.0000	0.0000
33242	8195	5.0100	0.0000
33243	8195	5.1400	0.0000
33244	8195	4.9800	0.0000
33245	8195	5.1400	0.0000
33246	8195	5.1400	0.0000
33251	8195	5.0300	0.0000
33252	8195	4.9800	0.0000
33253	8195	5.0200	0.0000
33254	8195	5.0000	0.0000
33255	8195	5.0000	0.0000
33256	8195	5.0000	0.0000
33257	8195	5.0000	0.0000
33258	8195	5.0000	0.0000
33259	8195	5.0200	0.0000
